#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::00 - Foundation::Recognition

壊す	こわす	to break (nakadaka (2))	Pitch-accent 2	nakadaka (2)	LHL	middle-drop pattern		[sound:b2310d9143b9.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
怒る	いかる	to get angry (nakadaka (2))	Pitch-accent 2	nakadaka (2)	LHL	middle-drop pattern		[sound:44180d9e2486.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
運転手	うんてんしゅ	driver (nakadaka (3))	Pitch-accent 3	nakadaka (3)	LHHLL	middle-drop pattern		[sound:7e2a65748ee9.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
柔らかい	やわらかい	soft (nakadaka (4))	Pitch-accent 4	nakadaka (4)	LHHHL	middle-drop pattern		[sound:14890280c401.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
歩く	あるく	to walk (nakadaka (2))	Pitch-accent 2	nakadaka (2)	LHL	middle-drop pattern		[sound:661cf28cf5e9.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
忙しい	いそがしい	busy (nakadaka (4))	Pitch-accent 4	nakadaka (4)	LHHHL	middle-drop pattern		[sound:03f65015f9e6.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
痛い	いたい	painful (nakadaka (2))	Pitch-accent 2	nakadaka (2)	LHL	middle-drop pattern		[sound:2d7d31a9ab4e.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
失礼	しつれい	discourtesy (nakadaka (2))	Pitch-accent 2	nakadaka (2)	LHLL	middle-drop pattern		[sound:e7b05a197f63.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
一生懸命	いっしょうけんめい	very hard (nakadaka (5))	Pitch-accent 5	nakadaka (5)	LHHHHLLL	middle-drop pattern		[sound:bb15e1db0fca.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
五つ	いつつ	five (nakadaka (2))	Pitch-accent 2	nakadaka (2)	LHL	middle-drop pattern		[sound:c664873dbc35.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
花	はな	flower (odaka)	Pitch-accent 2	odaka	LH	ends with drop	鼻	[sound:9be4611e164b.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
明日	あした	tomorrow (odaka)	Pitch-accent 3	odaka	LHH	ends with drop		[sound:762ffcba27ad.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
頭	かしら	counter for large animals (e.g. head of cattle) (odaka)	Pitch-accent 3	odaka	LHH	ends with drop		[sound:e349ae133850.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
表	おもて	surface (odaka)	Pitch-accent 3	odaka	LHH	ends with drop		[sound:6a954390e365.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
家	いえ	house (odaka)	Pitch-accent 2	odaka	LH	ends with drop		[sound:7de8177ce74b.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
正月	しょうがつ	New Year (esp. first three days) (odaka)	Pitch-accent 4	odaka	LHHH	ends with drop		[sound:8d94d31e6e43.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
池	いけ	pond (odaka)	Pitch-accent 2	odaka	LH	ends with drop		[sound:33dda9d445d7.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
一	いち	one (odaka)	Pitch-accent 2	odaka	LH	ends with drop		[sound:d274eee8a175.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
一日	いちじつ	one day (odaka)	Pitch-accent 4	odaka	LHHH	ends with drop		[sound:d193f69c03f5.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
犬	いぬ	dog (Canis (lupus) familiaris) (odaka)	Pitch-accent 2	odaka	LH	ends with drop		[sound:022dd77d5cf1.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
嫌	いや	disliking (odaka)	Pitch-accent 2	odaka	LH	ends with drop		[sound:7b59b16db1db.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
色	いろ	colour (odaka)	Pitch-accent 2	odaka	LH	ends with drop		[sound:1391f4a4c627.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
歌	うた	song (odaka)	Pitch-accent 2	odaka	LH	ends with drop		[sound:3a3857bfa3f6.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
親	おや	parent (odaka)	Pitch-accent 2	odaka	LH	ends with drop		[sound:2995b69f5a42.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
弟	おと	younger brother (odaka)	Pitch-accent 2	odaka	LH	ends with drop		[sound:276330ed9702.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
建て	たて	indicates storeys, structures, or materials used in a building (odaka)	Pitch-accent 2	odaka	LH	ends with drop		[sound:2545f47b51fd.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
鍵	かぎ	key (odaka)	Pitch-accent 2	odaka	LH	ends with drop		[sound:287a06131f4d.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
力	ちから	force (odaka)	Pitch-accent 3	odaka	LHH	ends with drop		[sound:a81c2ab80e37.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
方	かた	direction (odaka)	Pitch-accent 2	odaka	LH	ends with drop		[sound:2e9c5afd29ff.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
紙	かみ	paper (odaka)	Pitch-accent 2	odaka	LH	ends with drop		[sound:c899fb51e356.mp3]	module:00-foundation jlpt:n5 point:pitch-accent-primer
